City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,India,20,77,72.39,61,23,2.13,IN,1604077796
1,Ushuaia,-54.8,-68.3,50,71,75,28.86,AR,1604077571
2,Bhatkal,13.97,74.57,78.46,74,30,5.32,IN,1604077797
4,Longyearbyen,78.22,15.64,17.6,72,0,2.24,SJ,1604077720
5,Hermanus,-34.42,19.23,59,66,0,1.01,ZA,1604077798
6,Luebo,-5.35,21.42,74.55,76,16,1.25,CD,1604077798
7,Bredasdorp,-34.53,20.04,62.6,45,0,10.29,ZA,1604077605
10,Port Elizabeth,-33.92,25.57,62.6,55,0,6.93,ZA,1604077799
11,Hithadhoo,-0.6,73.08,83.64,73,0,8.88,MV,1604077488
13,Benguela,-12.58,13.41,78.8,83,75,4.7,AO,1604077800
14,Vajszló,45.86,17.98,55.4,87,90,2.24,HU,1604077800
16,Cape Town,-33.93,18.42,62.01,59,0,26.4,ZA,1604077600
17,Port Alfred,-33.59,26.89,60.85,58,84,3.02,ZA,1604077801
18,Qaanaaq,77.48,-69.36,15.35,82,99,5.35,GL,1604077802
19,Vardø,70.37,31.11,33.8,74,40,25.28,NO,1604077802
23,Kavaratti,10.57,72.64,82.78,73,50,9.13,IN,1604077382
26,Dikson,73.51,80.55,11.98,95,100,28.25,RU,1604077804
28,Chabahar,25.29,60.64,71.6,53,0,8.46,IR,1604077804
29,Banda Aceh,5.56,95.32,80.6,75,98,9.4,ID,1604077546
30,Grand Gaube,-20.01,57.66,70,52,0,10,MU,1604077336
31,Skjervøy,70.03,20.97,33.8,80,75,9.17,NO,1604077718
34,Morondava,-20.28,44.28,80.65,78,5,14.83,MG,1604077806
35,Surgāna,20.57,73.62,69.71,55,12,2.66,IN,1604077806
40,Castleblayney,54.12,-6.73,50,75,80,1.01,IE,1604077807
42,Huarmey,-10.07,-78.15,69.12,67,95,9.42,PE,1604077807
43,Grindavik,63.84,-22.43,42.8,81,75,16.11,IS,1604077808
44,Ilām,26.92,87.92,62.67,54,8,6.71,NP,1604077808
47,Chik,54.99,82.43,33.8,100,90,11.18,RU,1604077808
49,Punta Arenas,-53.15,-70.92,53.6,66,75,26.4,CL,1604077809
50,Trento,46.07,11.12,50,85,72,1.99,IT,1604077514
60,Rāzole,16.48,81.83,75.34,68,52,1.95,IN,1604077812
64,Carnarvon,-24.87,113.63,73.4,78,90,9.17,AU,1604077813
65,Albany,42.6,-73.97,35.01,87,100,6.64,US,1604077456
68,Castro,-24.79,-50.01,59.27,84,100,11.23,BR,1604077650
76,Quatre Cocos,-20.21,57.76,70,52,75,14.99,MU,1604077381
80,Oranjemund,-28.55,16.43,59.04,66,100,27.45,NA,1604077372
82,Padang,-0.95,100.35,78.84,78,100,3.62,ID,1604077817
85,Visby,57.64,18.3,50,100,75,5.82,SE,1604077813
88,Tasiilaq,65.61,-37.64,32,96,75,3.36,GL,1604077478
90,Nuuk,64.18,-51.72,26.6,63,40,8.05,GL,1604077819
92,Tacuarembó,-31.73,-55.98,64.78,51,0,11.27,UY,1604077820
93,Dubti,11.74,41.09,89.58,27,0,3.29,ET,1604077820
95,Jamestown,42.1,-79.24,37.99,93,90,6.93,US,1604077616
97,Upernavik,72.79,-56.15,22.03,97,100,4.18,GL,1604077821
98,Saint-Pierre,-21.34,55.48,68,64,75,11.41,RE,1604077310
99,Fenoarivo,-18.93,47.44,57.2,76,75,14.99,MG,1604077821
100,Ndendé,-2.4,11.36,76.48,92,95,2.42,GA,1604077822
105,Arraial do Cabo,-22.97,-42.03,78.8,83,40,8.05,BR,1604077823
106,Paamiut,61.99,-49.67,26.28,84,96,8.93,GL,1604077585
107,Havre-St-Pierre,50.23,-63.6,33.94,79,15,13.51,CA,1604077824
108,Saint-Philippe,-21.36,55.77,68,64,75,11.41,RE,1604077824
110,Busselton,-33.65,115.33,63,54,18,2.66,AU,1604077824
112,Sørland,67.67,12.69,37.4,55,0,13.87,NO,1604076974
115,Tiszakarád,48.2,21.72,48.2,70,0,4.7,HU,1604077825
118,Coyhaique,-45.58,-72.07,60.8,48,0,2.24,CL,1604077826
125,Mtambile,-5.38,39.7,79.23,79,96,12.53,TZ,1604077828
126,Narsaq,60.92,-46.05,32,90,75,2.24,GL,1604077806
129,Mladenovac,44.44,20.7,53.6,71,0,3.36,RS,1604077829
136,Westport,41.14,-73.36,37.99,86,90,14.99,US,1604077448
137,Cefalù,38.04,14.02,64.99,77,93,3,IT,1604077831
139,Margate,51.38,1.39,60.01,86,94,5.99,GB,1604077061
141,East London,-33.02,27.91,59,82,20,3.36,ZA,1604077234
142,Mossamedes,-15.2,12.15,73.24,74,17,6.89,AO,1604077248
144,Severodvinsk,64.56,39.83,37.4,93,40,4.47,RU,1604077833
145,Kruisfontein,-34,24.73,57.99,67,24,1.99,ZA,1604077521
147,Cancún,21.17,-86.85,84.2,79,75,10.29,MX,1604077834
148,Nizwá,22.93,57.53,69.46,33,0,2.91,OM,1604077834
151,Itarema,-2.92,-39.92,86.86,54,30,17.69,BR,1604077835
152,Barra do Garças,-15.89,-52.26,89.35,50,100,4.03,BR,1604077836
155,Sakakah,29.97,40.21,78.8,9,0,3.36,SA,1604077408
157,Chute-aux-Outardes,49.12,-68.4,32,59,0,7.56,CA,1604077837
159,Torbay,47.67,-52.73,37.99,53,57,1.99,CA,1604077837
160,Lüderitz,-26.65,15.16,66.25,45,66,32.35,NA,1604077837
178,Klaksvík,62.23,-6.59,46.4,75,45,19.46,FO,1604077402
181,Talnakh,69.49,88.4,12.2,72,100,20.13,RU,1604077312
184,Panama City,8.99,-79.52,86,74,20,8.05,PA,1604077603
185,Chui,-33.7,-53.46,61.63,66,59,12.21,UY,1604077843
186,Macduff,57.67,-2.5,48.99,78,46,1.01,GB,1604077843
189,Praia,14.92,-23.51,86,58,0,20.8,CV,1604077203
194,Araguaçu,-12.93,-49.83,99.57,34,74,1.66,BR,1604077845
197,Ugljevik,44.66,19.02,51.8,81,0,1.12,BA,1604077846
213,Marinette,45.1,-87.63,32,72,90,11.41,US,1604077850
222,Pisco,-13.7,-76.22,69.01,72,0,10.29,PE,1604077261
223,Brigantine,39.41,-74.36,44.01,93,90,13.87,US,1604077283
224,George Town,5.41,100.34,82.4,83,20,2.24,MY,1604077852
226,Clyde River,70.47,-68.59,17.49,93,95,5.57,CA,1604077853
228,Luhyny,51.08,28.4,44.44,91,96,4.74,UA,1604077853
234,São Gabriel da Cachoeira,-0.13,-67.09,97.65,42,1,3.47,BR,1604077853
236,Touros,-5.2,-35.46,87.8,52,40,14.99,BR,1604077855
245,Rawson,-43.3,-65.1,70.74,22,1,9.22,AR,1604077557
247,Tessalit,20.2,1.01,88.88,12,11,7.9,ML,1604077461
250,Bondoukou,8.03,-2.8,84.7,61,1,3.04,CI,1604077858
253,Matara,5.95,80.54,78.55,84,62,7.72,LK,1604077585
258,Chapais,49.78,-74.85,23.22,92,40,3.51,CA,1604077859
259,Tuskegee,32.42,-85.69,62.01,100,0,3,US,1604077860
266,Humberto de Campos,-2.6,-43.46,90.64,49,96,12.26,BR,1604077362
272,Albemarle,35.35,-80.2,66,45,40,13.87,US,1604077863
279,Ribeira Grande,38.52,-28.7,69.8,88,75,20.8,PT,1604077865
283,Acandí,8.51,-77.28,83.73,77,20,3.42,CO,1604077866
284,Belyy Yar,53.6,91.39,37.4,59,0,11.18,RU,1604077435
285,Hong Kong,22.29,114.16,75,77,58,4,HK,1604077800
296,Barth,54.36,12.72,55.4,100,75,12.75,DE,1604077869
298,Adrar,20.5,-10.07,93.29,11,62,6.55,MR,1604077397
305,Saint George,37.1,-113.58,51.8,29,1,2.98,US,1604077677
309,Ngama,11.78,17.17,90.68,21,0,1.97,TD,1604077871
311,Yanam,16.73,82.22,84.2,48,20,3.36,IN,1604077872
315,Rafaela,-31.25,-61.49,66.99,35,100,4,AR,1604077873
320,Antofagasta,-23.65,-70.4,69.01,59,0,10.29,CL,1604077873
321,Sur,22.57,59.53,74.73,66,0,5.06,OM,1604077840
322,Sistranda,63.73,8.83,46.4,65,0,21.92,NO,1604077874
326,Rio Grande,-32.03,-52.1,69.01,69,49,7,BR,1604077652
330,Iracoubo,5.48,-53.2,86.99,65,97,14.36,GF,1604077876
335,Miandrivazo,-19.52,45.47,85.51,49,62,8.97,MG,1604077877
337,Iqaluit,63.75,-68.51,3.85,91,75,3.29,CA,1604077878
